agents,features,traits,regions,usediter,non_zero_edges
100,5,5,1,25500,0
100,5,5,1,44963,0
100,5,5,1,37685,0
100,5,5,1,31067,0
100,5,5,1,40991,0
100,5,5,1,36439,0
100,5,5,1,33232,0
100,5,5,1,39084,0
100,5,5,1,29275,0
100,5,5,2,25951,0
100,5,10,2,34060,0
100,5,10,1,47747,0
100,5,10,1,34929,0
100,5,10,1,28968,0
100,5,10,1,42580,0
100,5,10,1,45098,0
100,5,10,2,31876,0
100,5,10,3,26870,0
100,5,10,1,50128,0
100,5,10,1,28152,0
100,5,15,3,30824,0
100,5,15,2,34715,0
100,5,15,1,34793,0
100,5,15,1,35296,0
100,5,15,3,54552,0
100,5,15,2,45919,0
100,5,15,4,30237,0
100,5,15,7,21534,0
100,5,15,3,24974,0
100,5,15,2,24619,0
100,10,5,1,61251,0
100,10,5,1,75908,0
100,10,5,1,73137,0
100,10,5,1,75218,0
100,10,5,1,69597,0
100,10,5,1,60501,0
100,10,5,1,68806,0
100,10,5,1,48690,0
100,10,5,1,59964,0
100,10,5,1,59371,0
100,10,10,1,48715,0
100,10,10,1,73578,0
100,10,10,1,59751,0
100,10,10,1,90821,0
100,10,10,1,69682,0
100,10,10,1,79295,0
100,10,10,1,88175,0
100,10,10,1,79653,0
100,10,10,1,81975,0
100,10,10,1,74096,0
100,10,15,1,69961,0
100,10,15,1,78298,0
100,10,15,1,96405,0
100,10,15,1,98451,0
100,10,15,1,70633,0
100,10,15,1,82895,0
100,10,15,1,65030,0
100,10,15,1,92682,0
100,10,15,1,83291,0
100,10,15,1,64042,0
100,15,5,1,86398,0
100,15,5,1,73050,0
100,15,5,1,100000,550
100,15,5,1,100000,586
100,15,5,1,91487,0
100,15,5,1,89585,0
100,15,5,1,87793,0
100,15,5,1,100000,230
100,15,5,1,100000,126
100,15,5,1,85218,0
100,15,10,1,100000,496
100,15,10,1,100000,622
100,15,10,1,95218,0
100,15,10,1,100000,614
100,15,10,1,100000,540
100,15,10,1,100000,592
100,15,10,1,100000,554
100,15,10,1,100000,568
100,15,10,1,100000,526
100,15,10,1,100000,618
100,15,15,1,100000,610
100,15,15,1,100000,576
100,15,15,1,100000,444
100,15,15,1,100000,598
100,15,15,1,100000,568
100,15,15,1,100000,586
100,15,15,1,100000,554
100,15,15,1,100000,614
100,15,15,1,100000,624
100,15,15,1,100000,598
