agents,features,traits,regions,usediter,non_zero_edges
100,5,5,1,5000,486
100,5,5,1,5000,464
100,5,5,1,5000,468
100,5,5,1,5000,492
100,5,5,1,5000,476
100,5,5,1,5000,486
100,5,5,1,5000,490
100,5,5,1,5000,516
100,5,5,2,5000,468
100,5,5,1,5000,500
100,5,10,4,5000,374
100,5,10,2,5000,358
100,5,10,2,5000,424
100,5,10,3,5000,340
100,5,10,2,5000,348
100,5,10,2,5000,446
100,5,10,1,5000,404
100,5,10,1,5000,430
100,5,10,1,5000,404
100,5,10,4,5000,386
100,5,15,5,5000,302
100,5,15,4,5000,320
100,5,15,3,5000,334
100,5,15,7,5000,246
100,5,15,10,5000,254
100,5,15,4,5000,294
100,5,15,3,5000,256
100,5,15,11,5000,234
100,5,15,3,5000,326
100,5,15,5,5000,316
100,10,5,1,5000,596
100,10,5,1,5000,608
100,10,5,1,5000,596
100,10,5,1,5000,608
100,10,5,1,5000,584
100,10,5,1,5000,590
100,10,5,1,5000,596
100,10,5,1,5000,596
100,10,5,1,5000,598
100,10,5,1,5000,588
100,10,10,1,5000,500
100,10,10,1,5000,504
100,10,10,1,5000,488
100,10,10,1,5000,488
100,10,10,1,5000,554
100,10,10,2,5000,486
100,10,10,1,5000,498
100,10,10,1,5000,518
100,10,10,1,5000,514
100,10,10,1,5000,516
100,10,15,1,5000,384
100,10,15,1,5000,426
100,10,15,1,5000,388
100,10,15,4,5000,460
100,10,15,5,5000,388
100,10,15,1,5000,422
100,10,15,1,5000,348
100,10,15,2,5000,408
100,10,15,2,5000,424
100,10,15,2,5000,402
100,15,5,1,5000,632
100,15,5,1,5000,624
100,15,5,1,5000,622
100,15,5,1,5000,622
100,15,5,1,5000,626
100,15,5,1,5000,616
100,15,5,1,5000,620
100,15,5,1,5000,616
100,15,5,1,5000,622
100,15,5,1,5000,630
100,15,10,1,5000,578
100,15,10,1,5000,564
100,15,10,1,5000,534
100,15,10,1,5000,548
100,15,10,1,5000,560
100,15,10,1,5000,544
100,15,10,1,5000,578
100,15,10,1,5000,548
100,15,10,1,5000,550
100,15,10,1,5000,536
100,15,15,1,5000,496
100,15,15,1,5000,488
100,15,15,2,5000,462
100,15,15,1,5000,488
100,15,15,1,5000,480
100,15,15,1,5000,500
100,15,15,1,5000,474
100,15,15,1,5000,458
100,15,15,2,5000,460
100,15,15,1,5000,462
