agents,features,traits,regions,usediter,non_zero_edges
25,2,2,2,89,0
25,2,2,1,1501,0
25,2,2,2,131,0
25,2,8,8,78,0
25,2,8,12,52,0
25,2,8,9,53,0
25,2,16,14,51,0
25,2,16,13,57,0
25,2,16,18,38,0
25,6,2,1,1880,0
25,6,2,1,1321,0
25,6,2,1,1164,0
25,6,8,3,1190,0
25,6,8,3,1035,0
25,6,8,1,3637,0
25,6,16,2,2637,0
25,6,16,9,759,0
25,6,16,8,744,0
49,2,2,3,264,0
49,2,2,2,1143,0
49,2,2,1,2311,0
49,2,8,10,252,0
49,2,8,12,528,0
49,2,8,14,236,0
49,2,16,31,76,0
49,2,16,26,61,0
49,2,16,35,57,0
49,6,2,1,4030,0
49,6,2,1,5240,0
49,6,2,1,5851,0
49,6,8,1,9104,0
49,6,8,1,13108,0
49,6,8,1,11714,0
49,6,16,3,7503,0
49,6,16,2,10560,0
49,6,16,3,9443,0
