agents,features,traits,regions,usediter,non_zero_edges
25,5,3,1,1547,0
25,5,3,1,1366,0
25,5,3,1,1135,0
25,5,3,1,1739,0
25,5,3,1,1723,0
25,5,3,1,1996,0
25,5,3,1,1186,0
25,5,3,1,1813,0
25,5,3,1,1074,0
25,5,3,1,1195,0
25,5,5,1,3088,0
25,5,5,1,2677,0
25,5,5,1,2517,0
25,5,5,2,1608,0
25,5,5,2,1524,0
25,5,5,2,1087,0
25,5,5,2,1370,0
25,5,5,1,2323,0
25,5,5,1,2012,0
25,5,5,1,2873,0
25,5,10,2,1295,0
25,5,10,1,2753,0
25,5,10,2,2521,0
25,5,10,2,2015,0
25,5,10,1,3569,0
25,5,10,3,1476,0
25,5,10,4,1193,0
25,5,10,2,1167,0
25,5,10,1,2701,0
25,5,10,2,1246,0
25,5,20,12,425,0
25,5,20,10,242,0
25,5,20,7,473,0
25,5,20,4,1030,0
25,5,20,11,318,0
25,5,20,10,399,0
25,5,20,11,234,0
25,5,20,12,359,0
25,5,20,10,462,0
25,5,20,10,416,0
25,5,25,12,218,0
25,5,25,12,393,0
25,5,25,5,1062,0
25,5,25,11,370,0
25,5,25,12,353,0
25,5,25,16,160,0
25,5,25,7,1402,0
25,5,25,12,301,0
25,5,25,11,341,0
25,5,25,7,1280,0
25,5,30,14,196,0
25,5,30,10,508,0
25,5,30,11,297,0
25,5,30,9,651,0
25,5,30,16,135,0
25,5,30,14,161,0
25,5,30,12,476,0
25,5,30,13,396,0
25,5,30,7,532,0
25,5,30,10,642,0
25,5,35,14,271,0
25,5,35,8,601,0
25,5,35,19,87,0
25,5,35,13,204,0
25,5,35,11,323,0
25,5,35,8,626,0
25,5,35,11,300,0
25,5,35,13,344,0
25,5,35,15,200,0
25,5,35,14,173,0
25,5,40,12,283,0
25,5,40,11,699,0
25,5,40,22,36,0
25,5,40,9,627,0
25,5,40,9,565,0
25,5,40,15,260,0
25,5,40,21,73,0
25,5,40,15,194,0
25,5,40,8,776,0
25,5,40,15,250,0
25,5,42,15,298,0
25,5,42,17,128,0
25,5,42,19,68,0
25,5,42,16,204,0
25,5,42,13,285,0
25,5,42,11,279,0
25,5,42,15,162,0
25,5,42,18,129,0
25,5,42,17,93,0
25,5,42,17,124,0
25,5,44,16,113,0
25,5,44,16,249,0
25,5,44,19,105,0
25,5,44,13,207,0
25,5,44,12,218,0
25,5,44,11,482,0
25,5,44,16,140,0
25,5,44,18,107,0
25,5,44,20,70,0
25,5,44,16,149,0
25,5,46,19,76,0
25,5,46,18,123,0
25,5,46,14,164,0
25,5,46,17,88,0
25,5,46,12,253,0
25,5,46,14,150,0
25,5,46,16,165,0
25,5,46,16,158,0
25,5,46,16,237,0
25,5,46,16,168,0
25,5,48,14,205,0
25,5,48,9,636,0
25,5,48,14,190,0
25,5,48,14,395,0
25,5,48,17,134,0
25,5,48,13,226,0
25,5,48,14,228,0
25,5,48,12,358,0
25,5,48,20,78,0
25,5,48,13,317,0
25,5,50,16,164,0
25,5,50,13,260,0
25,5,50,20,94,0
25,5,50,10,472,0
25,5,50,24,11,0
25,5,50,15,167,0
25,5,50,15,150,0
25,5,50,18,119,0
