agents,features,traits,regions,usediter,non_zero_edges
25,5,3,1,2150,0
25,5,3,1,2064,0
25,5,3,1,1971,0
25,5,3,1,1285,0
25,5,3,1,1865,0
25,5,3,1,1923,0
25,5,3,1,1649,0
25,5,3,1,1287,0
25,5,3,1,1602,0
25,5,3,1,674,0
25,5,5,1,2206,0
25,5,5,1,2749,0
25,5,5,1,2020,0
25,5,5,1,1792,0
25,5,5,1,1701,0
25,5,5,1,1695,0
25,5,5,1,2686,0
25,5,5,2,1256,0
25,5,5,1,1344,0
25,5,5,1,3621,0
25,5,10,3,1102,0
25,5,10,3,1143,0
25,5,10,2,2317,0
25,5,10,4,1043,0
25,5,10,2,2426,0
25,5,10,2,1441,0
25,5,10,2,1508,0
25,5,10,2,2201,0
25,5,10,3,1274,0
25,5,10,3,1080,0
25,5,20,6,561,0
25,5,20,8,466,0
25,5,20,9,476,0
25,5,20,2,2862,0
25,5,20,11,290,0
25,5,20,9,1223,0
25,5,20,9,574,0
25,5,20,7,520,0
25,5,20,9,420,0
25,5,20,8,667,0
25,5,25,12,248,0
25,5,25,8,460,0
25,5,25,14,210,0
25,5,25,10,458,0
25,5,25,10,237,0
25,5,25,11,373,0
25,5,25,11,311,0
25,5,25,11,295,0
25,5,25,7,708,0
25,5,25,8,334,0
25,5,30,10,542,0
25,5,30,11,272,0
25,5,30,18,89,0
25,5,30,10,582,0
25,5,30,12,381,0
25,5,30,12,230,0
25,5,30,13,172,0
25,5,30,9,462,0
25,5,30,12,316,0
25,5,30,12,404,0
25,5,35,19,79,0
25,5,35,10,420,0
25,5,35,14,196,0
25,5,35,12,283,0
25,5,35,14,143,0
25,5,35,17,138,0
25,5,35,14,244,0
25,5,35,14,221,0
25,5,35,16,107,0
25,5,35,13,360,0
25,5,40,14,185,0
25,5,40,12,313,0
25,5,40,15,269,0
25,5,40,19,111,0
25,5,40,18,66,0
25,5,40,10,301,0
25,5,40,9,305,0
25,5,40,15,222,0
25,5,40,19,81,0
25,5,40,18,133,0
25,5,42,15,529,0
25,5,42,16,266,0
25,5,42,17,130,0
25,5,42,17,104,0
25,5,42,12,233,0
25,5,42,15,315,0
25,5,42,18,214,0
25,5,42,14,221,0
25,5,42,15,147,0
25,5,42,21,44,0
25,5,44,20,64,0
25,5,44,19,82,0
25,5,44,19,83,0
25,5,44,15,237,0
25,5,44,17,86,0
25,5,44,11,275,0
25,5,44,15,144,0
25,5,44,18,103,0
25,5,44,19,87,0
25,5,44,19,143,0
25,5,46,18,117,0
25,5,46,20,68,0
25,5,46,13,248,0
25,5,46,13,208,0
25,5,46,16,137,0
25,5,46,11,330,0
25,5,46,10,709,0
25,5,46,17,107,0
25,5,46,14,173,0
25,5,46,16,129,0
25,5,48,11,423,0
25,5,48,14,164,0
25,5,48,16,103,0
25,5,48,19,113,0
25,5,48,14,220,0
25,5,48,20,63,0
25,5,48,14,257,0
25,5,48,15,157,0
25,5,48,16,184,0
25,5,48,17,96,0
25,5,50,17,89,0
25,5,50,11,223,0
25,5,50,14,269,0
25,5,50,15,215,0
25,5,50,13,309,0
25,5,50,17,84,0
25,5,50,18,147,0
25,5,50,12,258,0
25,5,50,21,48,0
25,5,50,17,186,0
25,5,60,17,142,0
25,5,60,21,34,0
25,5,60,16,81,0
25,5,60,20,55,0
25,5,60,17,154,0
25,5,60,18,88,0
25,5,60,20,91,0
25,5,60,18,68,0
25,5,60,19,91,0
25,5,60,10,302,0
25,5,80,20,50,0
25,5,80,18,84,0
25,5,80,21,45,0
25,5,80,16,352,0
25,5,80,23,22,0
25,5,80,19,81,0
25,5,80,20,76,0
25,5,80,21,82,0
25,5,80,24,10,0
25,5,80,18,125,0
25,5,100,20,100,0
25,5,100,17,127,0
25,5,100,23,28,0
25,5,100,20,50,0
25,5,100,22,27,0
25,5,100,20,42,0
25,5,100,21,85,0
25,5,100,20,47,0
25,5,100,22,50,0
25,5,100,22,24,0
25,5,300,25,1,0
25,5,300,24,23,0
25,5,300,23,37,0
25,5,300,22,30,0
25,5,300,24,7,0
25,5,300,24,26,0
25,5,300,25,1,0
25,5,300,24,14,0
25,5,300,24,17,0
25,5,300,21,60,0
25,5,500,24,4,0
25,5,500,24,11,0
25,5,500,24,7,0
25,5,500,23,21,0
25,5,500,24,30,0
25,5,500,25,1,0
25,5,500,25,1,0
25,5,500,24,7,0
25,5,500,24,7,0
25,5,500,24,9,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,5,1000,24,12,0
25,5,1000,25,1,0
25,5,1000,25,1,0
25,20,3,1,5528,0
25,20,3,1,5751,0
25,20,3,1,7165,0
25,20,3,1,7924,0
25,20,3,1,5584,0
25,20,3,1,4957,0
25,20,3,1,7492,0
25,20,3,1,4808,0
25,20,3,1,6677,0
25,20,3,1,4084,0
25,20,5,1,10369,0
25,20,5,1,7929,0
25,20,5,1,9112,0
25,20,5,1,7882,0
25,20,5,1,9604,0
25,20,5,1,7808,0
25,20,5,1,8765,0
25,20,5,1,8688,0
25,20,5,1,7402,0
25,20,5,1,7525,0
25,20,10,1,9684,0
25,20,10,1,9615,0
25,20,10,1,10245,0
25,20,10,1,10160,0
25,20,10,1,11677,0
25,20,10,1,8674,0
25,20,10,1,10398,0
25,20,10,1,10179,0
25,20,10,1,10369,0
25,20,10,1,9426,0
25,20,20,1,10891,0
25,20,20,1,10604,0
25,20,20,1,12712,0
25,20,20,1,10738,0
25,20,20,1,10251,0
25,20,20,1,13018,0
25,20,20,1,10207,0
25,20,20,1,9567,0
25,20,20,1,11997,0
25,20,20,1,11226,0
25,20,25,1,12160,0
25,20,25,1,10895,0
25,20,25,1,11972,0
25,20,25,1,11484,0
25,20,25,1,12391,0
25,20,25,1,12363,0
25,20,25,1,12614,0
25,20,25,1,13137,0
25,20,25,1,10893,0
25,20,25,1,13031,0
25,20,30,1,10976,0
25,20,30,4,8468,0
25,20,30,1,12815,0
25,20,30,1,10778,0
25,20,30,1,12060,0
25,20,30,1,13807,0
25,20,30,1,11992,0
25,20,30,1,11612,0
25,20,30,1,12541,0
25,20,30,1,9623,0
25,20,35,1,12688,0
25,20,35,1,8112,0
25,20,35,1,11579,0
25,20,35,1,11162,0
25,20,35,1,10971,0
