agents,features,traits,regions,usediter,non_zero_edges
25,2,2,2,115,0
25,2,2,2,363,0
25,2,2,2,139,0
25,2,2,1,193,0
25,2,2,1,904,0
25,2,6,4,171,0
25,2,6,7,138,0
25,2,6,6,275,0
25,2,6,7,62,0
25,2,6,5,155,0
25,2,10,13,35,0
25,2,10,16,21,0
25,2,10,12,229,0
25,2,10,9,85,0
25,2,10,10,63,0
25,2,14,16,30,0
25,2,14,12,75,0
25,2,14,20,11,0
25,2,14,15,18,0
25,2,14,10,79,0
25,2,18,19,16,0
25,2,18,21,11,0
25,2,18,21,9,0
25,2,18,17,21,0
25,2,18,18,23,0
25,6,2,1,1090,0
25,6,2,1,1898,0
25,6,2,1,564,0
25,6,2,1,1689,0
25,6,2,1,1229,0
25,6,6,1,2078,0
25,6,6,1,2089,0
25,6,6,1,2010,0
25,6,6,1,2311,0
25,6,6,1,3876,0
25,6,10,2,1891,0
25,6,10,4,1504,0
25,6,10,3,1242,0
25,6,10,1,2795,0
25,6,10,2,2571,0
25,6,14,2,2156,0
25,6,14,1,2556,0
25,6,14,1,2388,0
25,6,14,4,1860,0
25,6,14,3,2035,0
25,6,18,5,989,0
25,6,18,4,1717,0
25,6,18,6,799,0
25,6,18,8,795,0
25,6,18,5,1412,0
25,10,2,1,1252,0
25,10,2,1,2374,0
25,10,2,1,2805,0
25,10,2,1,1700,0
25,10,2,1,1524,0
25,10,6,1,4231,0
25,10,6,1,3875,0
25,10,6,1,4247,0
25,10,6,1,3312,0
25,10,6,1,4331,0
25,10,10,1,4859,0
25,10,10,1,4668,0
25,10,10,1,4687,0
25,10,10,1,5987,0
25,10,10,1,4960,0
25,10,14,1,6629,0
25,10,14,1,5183,0
25,10,14,2,5554,0
25,10,14,3,3831,0
25,10,14,1,6353,0
25,10,18,3,2394,0
25,10,18,3,2064,0
25,10,18,3,3441,0
25,10,18,2,3883,0
25,10,18,4,3724,0
36,2,2,4,365,0
36,2,2,2,573,0
36,2,2,1,419,0
36,2,2,3,260,0
36,2,2,3,599,0
36,2,6,7,182,0
36,2,6,5,351,0
36,2,6,4,397,0
36,2,6,6,365,0
36,2,6,9,269,0
36,2,10,19,69,0
36,2,10,17,127,0
36,2,10,11,125,0
36,2,10,14,167,0
36,2,10,16,100,0
36,2,14,26,29,0
36,2,14,21,50,0
36,2,14,22,39,0
36,2,14,23,28,0
36,2,14,16,265,0
36,2,18,25,29,0
36,2,18,22,70,0
36,2,18,26,25,0
36,2,18,23,39,0
36,2,18,25,31,0
36,6,2,1,2957,0
36,6,2,1,1357,0
36,6,2,1,6299,0
36,6,2,1,1618,0
36,6,2,1,2712,0
36,6,6,1,5012,0
36,6,6,1,4584,0
36,6,6,1,5413,0
36,6,6,1,6693,0
36,6,6,1,4022,0
36,6,10,2,5969,0
36,6,10,2,6150,0
36,6,10,1,6776,0
36,6,10,3,5583,0
36,6,10,2,5454,0
36,6,14,9,1878,0
36,6,14,2,6689,0
36,6,14,1,6172,0
36,6,14,3,2978,0
36,6,14,2,4576,0
36,6,18,8,1472,0
36,6,18,8,1340,0
36,6,18,5,5318,0
36,6,18,1,7800,0
36,6,18,3,2983,0
36,10,2,1,4159,0
36,10,2,1,4361,0
36,10,2,1,5630,0
36,10,2,1,4559,0
36,10,2,1,5384,0
36,10,6,1,8469,0
36,10,6,1,9309,0
36,10,6,1,8552,0
36,10,6,1,6906,0
36,10,6,1,9991,0
36,10,10,1,9161,0
36,10,10,1,8576,0
36,10,10,1,9525,0
36,10,10,1,8740,0
36,10,10,1,10651,0
36,10,14,1,11303,0
36,10,14,1,9884,0
36,10,14,1,10108,0
36,10,14,1,7950,0
36,10,14,1,13960,0
36,10,18,1,10719,0
36,10,18,2,8570,0
36,10,18,1,9395,0
36,10,18,3,10109,0
36,10,18,2,6310,0
49,2,2,3,608,0
49,2,2,3,140,0
49,2,2,2,1854,0
49,2,2,1,893,0
49,2,2,1,1643,0
49,2,6,16,209,0
49,2,6,8,303,0
49,2,6,7,745,0
49,2,6,12,602,0
49,2,6,8,131,0
49,2,10,18,362,0
49,2,10,15,257,0
49,2,10,24,215,0
49,2,10,22,136,0
49,2,10,18,337,0
49,2,14,32,84,0
49,2,14,30,67,0
49,2,14,24,104,0
49,2,14,23,207,0
49,2,14,32,40,0
49,2,18,26,90,0
49,2,18,34,49,0
49,2,18,29,50,0
49,2,18,36,26,0
49,2,18,35,71,0
49,6,2,1,3806,0
49,6,2,1,4904,0
49,6,2,1,6127,0
49,6,2,1,2654,0
49,6,2,1,5433,0
49,6,6,1,8884,0
49,6,6,1,14769,0
49,6,6,1,9794,0
49,6,6,1,11134,0
49,6,6,1,11659,0
49,6,10,3,8136,0
49,6,10,1,11213,0
49,6,10,2,8964,0
49,6,10,2,10754,0
49,6,10,1,10546,0
49,6,14,1,11316,0
49,6,14,3,7819,0
49,6,14,3,7883,0
49,6,14,2,13329,0
49,6,14,3,12218,0
49,6,18,8,5449,0
49,6,18,3,8905,0
49,6,18,3,10092,0
49,6,18,4,8907,0
49,6,18,1,12135,0
49,10,2,1,6535,0
49,10,2,1,8965,0
49,10,2,1,10868,0
49,10,2,1,11709,0
49,10,2,1,5809,0
49,10,6,1,23876,0
49,10,6,1,15118,0
49,10,6,1,19493,0
49,10,6,1,20728,0
49,10,6,1,11251,0
49,10,10,1,12739,0
49,10,10,1,25204,0
49,10,10,1,21008,0
49,10,10,1,21418,0
49,10,10,1,17287,0
49,10,14,2,16571,0
49,10,14,2,13924,0
49,10,14,1,19657,0
49,10,14,1,21317,0
49,10,14,1,22169,0
49,10,18,1,20445,0
49,10,18,1,20458,0
49,10,18,1,19035,0
49,10,18,2,16306,0
49,10,18,1,22384,0
100,2,2,1,5560,0
100,2,2,2,2745,0
100,2,2,2,745,0
100,2,2,2,4876,0
100,2,2,5,1119,0
100,2,6,8,4365,0
100,2,6,12,2229,0
100,2,6,9,2968,0
100,2,6,12,1740,0
100,2,6,15,1454,0
100,2,10,32,1123,0
100,2,10,29,973,0
100,2,10,21,1429,0
100,2,10,25,1063,0
100,2,10,25,1643,0
100,2,14,45,350,0
100,2,14,38,1573,0
100,2,14,34,590,0
100,2,14,53,175,0
100,2,14,66,110,0
100,2,18,71,66,0
100,2,18,55,244,0
100,2,18,63,320,0
100,2,18,62,140,0
100,2,18,68,105,0
100,6,2,1,24743,0
100,6,2,1,27449,0
100,6,2,1,17882,0
100,6,2,1,27214,0
100,6,2,1,34820,0
100,6,6,1,38767,0
