agents,features,traits,regions,usediter,non_zero_edges
25,2,2,2,54,0
25,2,2,1,734,0
25,2,2,2,121,0
25,2,2,2,175,0
25,2,2,1,665,0
25,2,6,5,93,0
25,2,6,5,175,0
25,2,6,8,42,0
25,2,6,6,189,0
25,2,6,5,312,0
25,2,10,10,106,0
25,2,10,8,65,0
25,2,10,9,135,0
25,2,10,15,21,0
25,2,10,9,88,0
25,2,14,13,37,0
25,2,14,14,55,0
25,2,14,14,70,0
25,2,14,14,39,0
25,2,14,15,51,0
25,2,18,19,14,0
25,2,18,23,4,0
25,2,18,16,26,0
25,2,18,17,52,0
25,2,18,13,24,0
25,6,2,1,557,0
25,6,2,1,2000,0
25,6,2,1,1017,0
25,6,2,1,1913,0
25,6,2,1,1222,0
25,6,6,1,2841,0
25,6,6,1,2128,0
25,6,6,1,3201,0
25,6,6,2,3049,0
25,6,6,1,2534,0
25,6,10,1,2863,0
25,6,10,1,3458,0
25,6,10,2,1244,0
25,6,10,1,3003,0
25,6,10,1,2612,0
25,6,14,2,2616,0
25,6,14,3,2668,0
25,6,14,3,2121,0
25,6,14,2,2150,0
25,6,14,1,1965,0
25,6,18,4,1372,0
25,6,18,6,996,0
25,6,18,2,2727,0
25,6,18,8,684,0
25,6,18,10,455,0
25,10,2,1,1988,0
25,10,2,1,1853,0
25,10,2,1,2384,0
25,10,2,1,1300,0
25,10,2,1,2504,0
25,10,6,1,4634,0
25,10,6,1,4921,0
25,10,6,1,5563,0
25,10,6,1,4210,0
25,10,6,1,4000,0
25,10,10,1,5307,0
25,10,10,2,3918,0
25,10,10,2,3827,0
25,10,10,1,4097,0
25,10,10,1,4833,0
25,10,14,2,4850,0
25,10,14,1,4551,0
25,10,14,2,3618,0
25,10,14,1,5229,0
25,10,14,1,4823,0
25,10,18,2,4243,0
25,10,18,1,5171,0
25,10,18,1,4944,0
25,10,18,2,5103,0
25,10,18,1,5039,0
36,2,2,2,590,0
36,2,2,3,229,0
36,2,2,2,281,0
36,2,2,1,248,0
36,2,2,1,1848,0
36,2,6,6,273,0
36,2,6,7,192,0
36,2,6,6,138,0
36,2,6,7,274,0
36,2,6,11,176,0
36,2,10,13,94,0
36,2,10,14,102,0
36,2,10,20,54,0
36,2,10,10,204,0
36,2,10,8,319,0
36,2,14,22,42,0
36,2,14,19,81,0
36,2,14,21,94,0
36,2,14,22,27,0
36,2,14,12,192,0
36,2,18,20,64,0
36,2,18,25,35,0
36,2,18,28,26,0
36,2,18,29,13,0
36,2,18,24,44,0
36,6,2,1,1894,0
36,6,2,1,1664,0
36,6,2,1,1984,0
36,6,2,1,4689,0
36,6,2,1,2902,0
36,6,6,1,4748,0
36,6,6,1,5402,0
36,6,6,1,4803,0
36,6,6,1,4529,0
36,6,6,1,4075,0
36,6,10,2,4205,0
36,6,10,1,7098,0
36,6,10,1,5289,0
36,6,10,1,7682,0
36,6,10,1,6758,0
36,6,14,4,4166,0
36,6,14,6,3401,0
36,6,14,2,5380,0
36,6,14,1,8457,0
36,6,14,2,4755,0
36,6,18,5,3031,0
36,6,18,3,6316,0
36,6,18,3,4313,0
36,6,18,3,3813,0
36,6,18,6,3225,0
36,10,2,1,3128,0
36,10,2,1,5843,0
36,10,2,1,3374,0
36,10,2,1,4404,0
36,10,2,1,4197,0
36,10,6,1,8082,0
36,10,6,1,10366,0
36,10,6,1,10533,0
36,10,6,1,8157,0
36,10,6,1,8743,0
36,10,10,1,9438,0
36,10,10,1,10397,0
36,10,10,1,11739,0
36,10,10,1,9867,0
36,10,10,1,10784,0
36,10,14,2,8382,0
36,10,14,1,12779,0
36,10,14,1,12056,0
36,10,14,1,10394,0
36,10,14,2,9209,0
36,10,18,1,11013,0
36,10,18,2,8034,0
36,10,18,1,9264,0
36,10,18,3,7800,0
36,10,18,3,8716,0
49,2,2,2,681,0
49,2,2,3,1398,0
49,2,2,2,398,0
49,2,2,1,1516,0
49,2,2,2,1452,0
49,2,6,5,768,0
49,2,6,8,686,0
49,2,6,13,346,0
49,2,6,6,558,0
49,2,6,7,550,0
49,2,10,16,486,0
49,2,10,18,207,0
49,2,10,20,124,0
49,2,10,12,463,0
49,2,10,21,220,0
49,2,14,33,61,0
49,2,14,31,68,0
49,2,14,31,54,0
49,2,14,28,91,0
49,2,14,27,108,0
49,2,18,33,71,0
49,2,18,28,60,0
49,2,18,29,59,0
49,2,18,25,58,0
49,2,18,34,50,0
49,6,2,1,2625,0
49,6,2,1,5957,0
49,6,2,1,6555,0
49,6,2,1,2174,0
49,6,2,1,3190,0
49,6,6,1,11017,0
